combine_strategy,rerank_strategy,update_strategy,persona,question_number,username,expected_chunk_id,neutral_question,priming_question_count,baseline_score,post_priming_score,delta,baseline_expected_rank,post_priming_expected_rank,baseline_chunk_ids,post_priming_chunk_ids
query-only,cross-encoder,moving-average,biology,1,eval-biology-q01-query-only,biology-1,How does the concept of entropy relate to the tendency of a system toward disorder or equilibrium?,0,0.000000,,,not retrieved,,chemistry-8|physics-2|chemistry-19|physics-16|physics-10,
query-only,cross-encoder,moving-average,chemistry,1,eval-chemistry-q01-query-only,chemistry-4,How does the concept of entropy relate to the tendency of a system toward disorder or equilibrium?,0,1.500000,,,not retrieved,,chemistry-8|physics-2|chemistry-19|physics-16|physics-10,
query-only,cross-encoder,moving-average,physics,1,eval-physics-q01-query-only,physics-2,How does the concept of entropy relate to the tendency of a system toward disorder or equilibrium?,0,7.126827,,,2,,chemistry-8|physics-2|chemistry-19|physics-16|physics-10,
query-only,cross-encoder,moving-average,biology,2,eval-biology-q02-query-only,biology-1,What role does energy input or work play in maintaining a system away from thermodynamic equilibrium?,0,1.061606,,,not retrieved,,physics-3|biology-14|physics-17|biology-5|chemistry-24,
query-only,cross-encoder,moving-average,chemistry,2,eval-chemistry-q02-query-only,chemistry-5,What role does energy input or work play in maintaining a system away from thermodynamic equilibrium?,0,0.386853,,,not retrieved,,physics-3|biology-14|physics-17|biology-5|chemistry-24,
query-only,cross-encoder,moving-average,physics,2,eval-physics-q02-query-only,physics-3,What role does energy input or work play in maintaining a system away from thermodynamic equilibrium?,0,10.500000,,,1,,physics-3|biology-14|physics-17|biology-5|chemistry-24,
query-only,cross-encoder,moving-average,biology,3,eval-biology-q03-query-only,biology-8,How is the distribution of energy among particles or molecules described in these texts?,0,0.000000,,,not retrieved,,physics-7|chemistry-15|physics-49|physics-30|physics-50,
query-only,cross-encoder,moving-average,chemistry,3,eval-chemistry-q03-query-only,chemistry-15,How is the distribution of energy among particles or molecules described in these texts?,0,6.309298,,,2,,physics-7|chemistry-15|physics-49|physics-30|physics-50,
query-only,cross-encoder,moving-average,physics,3,eval-physics-q03-query-only,physics-1,How is the distribution of energy among particles or molecules described in these texts?,0,2.317529,,,not retrieved,,physics-7|chemistry-15|physics-49|physics-30|physics-50,
query-only,cross-encoder,moving-average,biology,4,eval-biology-q04-query-only,biology-2,"What is the significance of gradients (concentration, electrochemical, or statistical) in driving processes within a system?",0,0.000000,,,not retrieved,,chemistry-9|physics-27|chemistry-21|chemistry-30|physics-40,
query-only,cross-encoder,moving-average,chemistry,4,eval-chemistry-q04-query-only,chemistry-2,"What is the significance of gradients (concentration, electrochemical, or statistical) in driving processes within a system?",0,1.930677,,,not retrieved,,chemistry-9|physics-27|chemistry-21|chemistry-30|physics-40,
query-only,cross-encoder,moving-average,physics,4,eval-physics-q04-query-only,physics-1,"What is the significance of gradients (concentration, electrochemical, or statistical) in driving processes within a system?",0,1.017783,,,not retrieved,,chemistry-9|physics-27|chemistry-21|chemistry-30|physics-40,
query-only,cross-encoder,moving-average,biology,5,eval-biology-q05-query-only,biology-11,How do energy barriers or potential wells influence the stability and transitions of a system?,0,0.000000,,,not retrieved,,physics-29|physics-19|physics-6|physics-11|physics-9,
query-only,cross-encoder,moving-average,chemistry,5,eval-chemistry-q05-query-only,chemistry-3,How do energy barriers or potential wells influence the stability and transitions of a system?,0,0.000000,,,not retrieved,,physics-29|physics-19|physics-6|physics-11|physics-9,
query-only,cross-encoder,moving-average,physics,5,eval-physics-q05-query-only,physics-6,How do energy barriers or potential wells influence the stability and transitions of a system?,0,7.448459,,,3,,physics-29|physics-19|physics-6|physics-11|physics-9,
query-only,cross-encoder,moving-average,biology,6,eval-biology-q06-query-only,biology-7,What is the relationship between temperature and the motion of particles or molecules?,0,0.000000,,,not retrieved,,chemistry-29|chemistry-15|chemistry-1|physics-49|chemistry-48,
query-only,cross-encoder,moving-average,chemistry,6,eval-chemistry-q06-query-only,chemistry-1,What is the relationship between temperature and the motion of particles or molecules?,0,7.017783,,,3,,chemistry-29|chemistry-15|chemistry-1|physics-49|chemistry-48,
query-only,cross-encoder,moving-average,physics,6,eval-physics-q06-query-only,physics-1,What is the relationship between temperature and the motion of particles or molecules?,0,0.430677,,,not retrieved,,chemistry-29|chemistry-15|chemistry-1|physics-49|chemistry-48,
query-only,cross-encoder,moving-average,biology,7,eval-biology-q07-query-only,biology-1,How does the system achieve or maintain a state of equilibrium?,0,2.561606,,,not retrieved,,biology-14|biology-33|biology-50|biology-11|physics-23,
query-only,cross-encoder,moving-average,chemistry,7,eval-chemistry-q07-query-only,chemistry-1,How does the system achieve or maintain a state of equilibrium?,0,0.000000,,,not retrieved,,biology-14|biology-33|biology-50|biology-11|physics-23,
query-only,cross-encoder,moving-average,physics,7,eval-physics-q07-query-only,physics-1,How does the system achieve or maintain a state of equilibrium?,0,0.386853,,,not retrieved,,biology-14|biology-33|biology-50|biology-11|physics-23,
query-only,cross-encoder,moving-average,biology,8,eval-biology-q08-query-only,biology-14,"How is the concept of ""free energy"" utilized to understand system stability or spontaneity?",0,6.309298,,,2,,chemistry-1|biology-14|chemistry-4|chemistry-19|chemistry-47,
query-only,cross-encoder,moving-average,chemistry,8,eval-chemistry-q08-query-only,chemistry-1,"How is the concept of ""free energy"" utilized to understand system stability or spontaneity?",0,11.317529,,,1,,chemistry-1|biology-14|chemistry-4|chemistry-19|chemistry-47,
query-only,cross-encoder,moving-average,physics,8,eval-physics-q08-query-only,physics-7,"How is the concept of ""free energy"" utilized to understand system stability or spontaneity?",0,0.000000,,,not retrieved,,chemistry-1|biology-14|chemistry-4|chemistry-19|chemistry-47,
query-only,cross-encoder,moving-average,biology,9,eval-biology-q09-query-only,biology-7,How do fluctuations or random motion contribute to the behavior of the system?,0,0.000000,,,not retrieved,,physics-4|physics-18|physics-11|physics-44|physics-13,
query-only,cross-encoder,moving-average,chemistry,9,eval-chemistry-q09-query-only,chemistry-8,How do fluctuations or random motion contribute to the behavior of the system?,0,0.000000,,,not retrieved,,physics-4|physics-18|physics-11|physics-44|physics-13,
query-only,cross-encoder,moving-average,physics,9,eval-physics-q09-query-only,physics-4,How do fluctuations or random motion contribute to the behavior of the system?,0,11.948459,,,1,,physics-4|physics-18|physics-11|physics-44|physics-13,
query-only,cross-encoder,moving-average,biology,10,eval-biology-q10-query-only,biology-2,How do potential differences or fields influence the movement of particles within a system?,0,0.000000,,,not retrieved,,physics-8|physics-27|physics-20|chemistry-21|physics-6,
query-only,cross-encoder,moving-average,chemistry,10,eval-chemistry-q10-query-only,chemistry-30,How do potential differences or fields influence the movement of particles within a system?,0,0.430677,,,not retrieved,,physics-8|physics-27|physics-20|chemistry-21|physics-6,
query-only,cross-encoder,moving-average,physics,10,eval-physics-q10-query-only,physics-8,How do potential differences or fields influence the movement of particles within a system?,0,11.517783,,,1,,physics-8|physics-27|physics-20|chemistry-21|physics-6,
query-only,cross-encoder,moving-average,biology,11,eval-biology-q11-query-only,biology-3,How is the transfer of energy between different states or forms described?,0,0.000000,,,not retrieved,,chemistry-37|chemistry-43|chemistry-47|chemistry-39|chemistry-22,
query-only,cross-encoder,moving-average,chemistry,11,eval-chemistry-q11-query-only,chemistry-1,How is the transfer of energy between different states or forms described?,0,2.948459,,,not retrieved,,chemistry-37|chemistry-43|chemistry-47|chemistry-39|chemistry-22,
query-only,cross-encoder,moving-average,physics,11,eval-physics-q11-query-only,physics-3,How is the transfer of energy between different states or forms described?,0,0.000000,,,not retrieved,,chemistry-37|chemistry-43|chemistry-47|chemistry-39|chemistry-22,
query-only,cross-encoder,moving-average,biology,12,eval-biology-q12-query-only,biology-11,"What is the significance of the ""transition state"" or ""activation energy"" in the context of reactions or changes?",0,0.000000,,,not retrieved,,chemistry-7|chemistry-22|chemistry-37|chemistry-16|physics-11,
query-only,cross-encoder,moving-average,chemistry,12,eval-chemistry-q12-query-only,chemistry-7,"What is the significance of the ""transition state"" or ""activation energy"" in the context of reactions or changes?",0,11.561606,,,1,,chemistry-7|chemistry-22|chemistry-37|chemistry-16|physics-11,
query-only,cross-encoder,moving-average,physics,12,eval-physics-q12-query-only,physics-11,"What is the significance of the ""transition state"" or ""activation energy"" in the context of reactions or changes?",0,3.868528,,,5,,chemistry-7|chemistry-22|chemistry-37|chemistry-16|physics-11,
query-only,cross-encoder,moving-average,biology,13,eval-biology-q13-query-only,biology-8,How does the system manage or respond to external stress or changes in conditions?,0,1.948459,,,not retrieved,,chemistry-5|biology-30|biology-41|biology-14|biology-50,
query-only,cross-encoder,moving-average,chemistry,13,eval-chemistry-q13-query-only,chemistry-5,How does the system manage or respond to external stress or changes in conditions?,0,10.000000,,,1,,chemistry-5|biology-30|biology-41|biology-14|biology-50,
query-only,cross-encoder,moving-average,physics,13,eval-physics-q13-query-only,physics-3,How does the system manage or respond to external stress or changes in conditions?,0,0.000000,,,not retrieved,,chemistry-5|biology-30|biology-41|biology-14|biology-50,
query-only,cross-encoder,moving-average,biology,14,eval-biology-q14-query-only,biology-1,How are collisions or interactions between particles fundamental to the system's dynamics?,0,0.386853,,,not retrieved,,chemistry-11|physics-13|physics-1|physics-23|biology-50,
query-only,cross-encoder,moving-average,chemistry,14,eval-chemistry-q14-query-only,chemistry-2,How are collisions or interactions between particles fundamental to the system's dynamics?,0,1.000000,,,not retrieved,,chemistry-11|physics-13|physics-1|physics-23|biology-50,
query-only,cross-encoder,moving-average,physics,14,eval-physics-q14-query-only,physics-1,How are collisions or interactions between particles fundamental to the system's dynamics?,0,6.061606,,,3,,chemistry-11|physics-13|physics-1|physics-23|biology-50,
query-only,cross-encoder,moving-average,biology,15,eval-biology-q15-query-only,biology-1,What is the role of probability or statistics in describing the system's behavior?,0,0.000000,,,not retrieved,,physics-1|physics-12|physics-50|physics-21|physics-44,
query-only,cross-encoder,moving-average,chemistry,15,eval-chemistry-q15-query-only,chemistry-8,What is the role of probability or statistics in describing the system's behavior?,0,0.000000,,,not retrieved,,physics-1|physics-12|physics-50|physics-21|physics-44,
query-only,cross-encoder,moving-average,physics,15,eval-physics-q15-query-only,physics-1,What is the role of probability or statistics in describing the system's behavior?,0,11.948459,,,1,,physics-1|physics-12|physics-50|physics-21|physics-44,
query-only,cross-encoder,moving-average,biology,16,eval-biology-q16-query-only,biology-4,"How does the concept of ""potential energy"" or ""potential well"" relate to system stability?",0,0.000000,,,not retrieved,,physics-6|physics-29|physics-50|physics-12|physics-27,
query-only,cross-encoder,moving-average,chemistry,16,eval-chemistry-q16-query-only,chemistry-1,"How does the concept of ""potential energy"" or ""potential well"" relate to system stability?",0,0.000000,,,not retrieved,,physics-6|physics-29|physics-50|physics-12|physics-27,
query-only,cross-encoder,moving-average,physics,16,eval-physics-q16-query-only,physics-6,"How does the concept of ""potential energy"" or ""potential well"" relate to system stability?",0,11.948459,,,1,,physics-6|physics-29|physics-50|physics-12|physics-27,
query-only,cross-encoder,moving-average,biology,17,eval-biology-q17-query-only,biology-5,How does the system resist the natural tendency toward disorder or uniformity?,0,0.630930,,,not retrieved,,chemistry-4|biology-1|physics-12|physics-1|physics-46,
query-only,cross-encoder,moving-average,chemistry,17,eval-chemistry-q17-query-only,chemistry-4,How does the system resist the natural tendency toward disorder or uniformity?,0,10.000000,,,1,,chemistry-4|biology-1|physics-12|physics-1|physics-46,
query-only,cross-encoder,moving-average,physics,17,eval-physics-q17-query-only,physics-2,How does the system resist the natural tendency toward disorder or uniformity?,0,1.317529,,,not retrieved,,chemistry-4|biology-1|physics-12|physics-1|physics-46,
query-only,cross-encoder,moving-average,biology,18,eval-biology-q18-query-only,biology-1,What is the relationship between the microscopic behavior of particles and macroscopic properties?,0,0.000000,,,not retrieved,,physics-1|physics-3|physics-28|physics-13|physics-23,
query-only,cross-encoder,moving-average,chemistry,18,eval-chemistry-q18-query-only,chemistry-21,What is the relationship between the microscopic behavior of particles and macroscopic properties?,0,0.000000,,,not retrieved,,physics-1|physics-3|physics-28|physics-13|physics-23,
query-only,cross-encoder,moving-average,physics,18,eval-physics-q18-query-only,physics-1,What is the relationship between the microscopic behavior of particles and macroscopic properties?,0,11.948459,,,1,,physics-1|physics-3|physics-28|physics-13|physics-23,
query-only,cross-encoder,moving-average,biology,19,eval-biology-q19-query-only,biology-12,How does the system utilize or dissipate heat?,0,1.500000,,,not retrieved,,biology-26|physics-37|biology-48|physics-32|physics-43,
query-only,cross-encoder,moving-average,chemistry,19,eval-chemistry-q19-query-only,chemistry-16,How does the system utilize or dissipate heat?,0,0.000000,,,not retrieved,,biology-26|physics-37|biology-48|physics-32|physics-43,
query-only,cross-encoder,moving-average,physics,19,eval-physics-q19-query-only,physics-3,How does the system utilize or dissipate heat?,0,1.448459,,,not retrieved,,biology-26|physics-37|biology-48|physics-32|physics-43,
query-only,cross-encoder,moving-average,biology,20,eval-biology-q20-query-only,biology-3,"How is the concept of ""work"" defined or utilized in the context of energy transformation?",0,0.000000,,,not retrieved,,physics-24|physics-3|physics-17|physics-10|physics-43,
query-only,cross-encoder,moving-average,chemistry,20,eval-chemistry-q20-query-only,chemistry-5,"How is the concept of ""work"" defined or utilized in the context of energy transformation?",0,0.000000,,,not retrieved,,physics-24|physics-3|physics-17|physics-10|physics-43,
query-only,cross-encoder,moving-average,physics,20,eval-physics-q20-query-only,physics-3,"How is the concept of ""work"" defined or utilized in the context of energy transformation?",0,8.626827,,,2,,physics-24|physics-3|physics-17|physics-10|physics-43,
query-only,cross-encoder,moving-average,biology,21,eval-biology-q21-query-only,biology-2,How do specific molecular structures or environments influence reaction rates or system behavior?,0,0.430677,,,not retrieved,,chemistry-1|chemistry-2|chemistry-34|biology-31|chemistry-10,
query-only,cross-encoder,moving-average,chemistry,21,eval-chemistry-q21-query-only,chemistry-2,How do specific molecular structures or environments influence reaction rates or system behavior?,0,8.196150,,,2,,chemistry-1|chemistry-2|chemistry-34|biology-31|chemistry-10,
query-only,cross-encoder,moving-average,physics,21,eval-physics-q21-query-only,physics-6,How do specific molecular structures or environments influence reaction rates or system behavior?,0,0.000000,,,not retrieved,,chemistry-1|chemistry-2|chemistry-34|biology-31|chemistry-10,
query-only,cross-encoder,moving-average,biology,22,eval-biology-q22-query-only,biology-1,"What is the significance of the ""steady state"" or ""dynamic equilibrium"" in these systems?",0,0.817529,,,not retrieved,,physics-23|chemistry-36|chemistry-18|biology-6|biology-33,
query-only,cross-encoder,moving-average,chemistry,22,eval-chemistry-q22-query-only,chemistry-1,"What is the significance of the ""steady state"" or ""dynamic equilibrium"" in these systems?",0,1.130930,,,not retrieved,,physics-23|chemistry-36|chemistry-18|biology-6|biology-33,
query-only,cross-encoder,moving-average,physics,22,eval-physics-q22-query-only,physics-23,"What is the significance of the ""steady state"" or ""dynamic equilibrium"" in these systems?",0,10.000000,,,1,,physics-23|chemistry-36|chemistry-18|biology-6|biology-33,
query-only,cross-encoder,moving-average,biology,23,eval-biology-q23-query-only,biology-5,How does the system handle the flow of matter or particles?,0,2.317529,,,not retrieved,,biology-11|chemistry-4|biology-6|biology-50|biology-41,
