run_id,dataset,namespace,index_name,user_namespace,embed_model,top_k,combine_strategy,rerank_strategy,update_strategy,alpha_mode,alpha_value,alpha_start,alpha_step,alpha_floor,final_alpha,persona,question_number,username,neutral_question,expected_chunk_id,priming_question_count,baseline_score,post_priming_score,delta,baseline_expected_rank,post_priming_expected_rank,baseline_chunk_ids,post_priming_chunk_ids
smoke-civil-1,civil,zai,541,users,llama-text-embed-v2,5,query-only,none,none,none,,,,,,civil,1,smoke-civil-1-civil-civil-q01-query-only-none-none-no-alpha,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",civil-1,0,6.448459,6.448459,0.000000,3,3,minecraft-1|civil-4|civil-1|civil-6|civil-7,minecraft-1|civil-4|civil-1|civil-6|civil-7
smoke-civil-1,civil,zai,541,users,llama-text-embed-v2,5,query-only,none,moving-average,none,,,,,,civil,1,smoke-civil-1-civil-civil-q01-query-only-none-moving-average-no-alpha,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",civil-1,10,6.448459,6.448459,0.000000,3,3,minecraft-1|civil-4|civil-1|civil-6|civil-7,minecraft-1|civil-4|civil-1|civil-6|civil-7
smoke-civil-1,civil,zai,541,users,llama-text-embed-v2,5,query-only,cross-encoder,none,none,,,,,,civil,1,smoke-civil-1-civil-civil-q01-query-only-cross-encoder-none-no-alpha,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",civil-1,0,11.317529,11.317529,0.000000,1,1,civil-1|minecraft-1|civil-6|civil-4|civil-7,civil-1|minecraft-1|civil-6|civil-4|civil-7
smoke-civil-1,civil,zai,541,users,llama-text-embed-v2,5,query-only,cross-encoder,moving-average,none,,,,,,civil,1,smoke-civil-1-civil-civil-q01-query-only-cross-encoder-moving-average-no-alpha,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",civil-1,10,11.317529,11.317529,0.000000,1,1,civil-1|minecraft-1|civil-6|civil-4|civil-7,civil-1|minecraft-1|civil-6|civil-4|civil-7
smoke-civil-1,civil,zai,541,users,llama-text-embed-v2,5,linear-comb,none,none,static,0.500000,,,,0.500000,civil,1,smoke-civil-1-civil-civil-q01-linear-comb-none-none-static-0p5,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",civil-1,0,6.448459,6.448459,0.000000,3,3,minecraft-1|civil-4|civil-1|civil-6|civil-7,minecraft-1|civil-4|civil-1|civil-6|civil-7
smoke-civil-1,civil,zai,541,users,llama-text-embed-v2,5,linear-comb,none,moving-average,static,0.500000,,,,0.500000,civil,1,smoke-civil-1-civil-civil-q01-linear-comb-none-moving-average-static-0p5,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",civil-1,10,6.448459,11.948459,5.500000,3,1,minecraft-1|civil-4|civil-1|civil-6|civil-7,civil-1|civil-4|civil-6|civil-8|civil-7
smoke-civil-1,civil,zai,541,users,llama-text-embed-v2,5,linear-comb,cross-encoder,none,static,0.500000,,,,0.500000,civil,1,smoke-civil-1-civil-civil-q01-linear-comb-cross-encoder-none-static-0p5,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",civil-1,0,11.317529,11.317529,0.000000,1,1,civil-1|minecraft-1|civil-6|civil-4|civil-7,civil-1|minecraft-1|civil-6|civil-4|civil-7
smoke-civil-1,civil,zai,541,users,llama-text-embed-v2,5,linear-comb,cross-encoder,moving-average,static,0.500000,,,,0.500000,civil,1,smoke-civil-1-civil-civil-q01-linear-comb-cross-encoder-moving-average-static-0p5,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",civil-1,10,11.317529,11.948459,0.630930,1,1,civil-1|minecraft-1|civil-6|civil-4|civil-7,civil-1|civil-6|civil-4|civil-8|civil-7
smoke-civil-1,civil,zai,541,users,llama-text-embed-v2,5,linear-comb,none,none,static,0.800000,,,,0.800000,civil,1,smoke-civil-1-civil-civil-q01-linear-comb-none-none-static-0p8,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",civil-1,0,6.448459,6.448459,0.000000,3,3,minecraft-1|civil-4|civil-1|civil-6|civil-7,minecraft-1|civil-4|civil-1|civil-6|civil-7
smoke-civil-1,civil,zai,541,users,llama-text-embed-v2,5,linear-comb,none,moving-average,static,0.800000,,,,0.800000,civil,1,smoke-civil-1-civil-civil-q01-linear-comb-none-moving-average-static-0p8,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",civil-1,10,6.448459,11.448459,5.000000,3,1,minecraft-1|civil-4|civil-1|civil-6|civil-7,civil-1|civil-4|minecraft-1|civil-6|civil-7
smoke-civil-1,civil,zai,541,users,llama-text-embed-v2,5,linear-comb,cross-encoder,none,static,0.800000,,,,0.800000,civil,1,smoke-civil-1-civil-civil-q01-linear-comb-cross-encoder-none-static-0p8,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",civil-1,0,11.317529,11.317529,0.000000,1,1,civil-1|minecraft-1|civil-6|civil-4|civil-7,civil-1|minecraft-1|civil-6|civil-4|civil-7
smoke-civil-1,civil,zai,541,users,llama-text-embed-v2,5,linear-comb,cross-encoder,moving-average,static,0.800000,,,,0.800000,civil,1,smoke-civil-1-civil-civil-q01-linear-comb-cross-encoder-moving-average-static-0p8,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",civil-1,10,11.317529,11.317529,0.000000,1,1,civil-1|minecraft-1|civil-6|civil-4|civil-7,civil-1|minecraft-1|civil-6|civil-4|civil-7
smoke-civil-1,civil,zai,541,users,llama-text-embed-v2,5,linear-comb,none,none,static,0.950000,,,,0.950000,civil,1,smoke-civil-1-civil-civil-q01-linear-comb-none-none-static-0p95,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",civil-1,0,6.448459,6.448459,0.000000,3,3,minecraft-1|civil-4|civil-1|civil-6|civil-7,minecraft-1|civil-4|civil-1|civil-6|civil-7
smoke-civil-1,civil,zai,541,users,llama-text-embed-v2,5,linear-comb,none,moving-average,static,0.950000,,,,0.950000,civil,1,smoke-civil-1-civil-civil-q01-linear-comb-none-moving-average-static-0p95,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",civil-1,10,6.448459,6.448459,0.000000,3,3,minecraft-1|civil-4|civil-1|civil-6|civil-7,minecraft-1|civil-4|civil-1|civil-6|civil-7
