combine_strategy,rerank_strategy,update_strategy,persona,question_number,username,expected_chunk_id,neutral_question,priming_question_count,baseline_score,post_priming_score,delta,baseline_expected_rank,post_priming_expected_rank,baseline_chunk_ids,post_priming_chunk_ids
query-only,none,moving-average,basketball,1,eval-basketball-q01-query-only,basketball_rules_full-49,What constitutes a goal?,0,0.630930,,,not retrieved,,soccer_rules_full-1|basketball_rules_full-1|soccer_rules_full-2|hockey_rules_full-1|football_rules_full-2,
query-only,none,moving-average,football,1,eval-football-q01-query-only,football_rules_full-37,What constitutes a goal?,0,0.386853,,,not retrieved,,soccer_rules_full-1|basketball_rules_full-1|soccer_rules_full-2|hockey_rules_full-1|football_rules_full-2,
query-only,none,moving-average,hockey,1,eval-hockey-q01-query-only,hockey_rules_full-31,What constitutes a goal?,0,0.430677,,,not retrieved,,soccer_rules_full-1|basketball_rules_full-1|soccer_rules_full-2|hockey_rules_full-1|football_rules_full-2,
query-only,none,moving-average,soccer,1,eval-soccer-q01-query-only,soccer_rules_full-24,What constitutes a goal?,0,1.500000,,,not retrieved,,soccer_rules_full-1|basketball_rules_full-1|soccer_rules_full-2|hockey_rules_full-1|football_rules_full-2,
query-only,none,moving-average,basketball,2,eval-basketball-q02-query-only,basketball_rules_full-5,How do you define the goal line?,0,0.500000,,,not retrieved,,soccer_rules_full-2|football_rules_full-2|basketball_rules_full-2|hockey_rules_full-2|soccer_rules_full-1,
query-only,none,moving-average,football,2,eval-football-q02-query-only,football_rules_full-32,How do you define the goal line?,0,0.630930,,,not retrieved,,soccer_rules_full-2|football_rules_full-2|basketball_rules_full-2|hockey_rules_full-2|soccer_rules_full-1,
query-only,none,moving-average,hockey,2,eval-hockey-q02-query-only,hockey_rules_full-10,How do you define the goal line?,0,0.430677,,,not retrieved,,soccer_rules_full-2|football_rules_full-2|basketball_rules_full-2|hockey_rules_full-2|soccer_rules_full-1,
query-only,none,moving-average,soccer,2,eval-soccer-q02-query-only,soccer_rules_full-41,How do you define the goal line?,0,1.386853,,,not retrieved,,soccer_rules_full-2|football_rules_full-2|basketball_rules_full-2|hockey_rules_full-2|soccer_rules_full-1,
query-only,none,moving-average,basketball,3,eval-basketball-q03-query-only,basketball_rules_full-7,What is the penalty for a hand ball?,0,0.500000,,,not retrieved,,soccer_rules_full-3|hockey_rules_full-3|basketball_rules_full-3|football_rules_full-3|football_rules_full-37,
query-only,none,moving-average,football,3,eval-football-q03-query-only,football_rules_full-20,What is the penalty for a hand ball?,0,0.817529,,,not retrieved,,soccer_rules_full-3|hockey_rules_full-3|basketball_rules_full-3|football_rules_full-3|football_rules_full-37,
query-only,none,moving-average,hockey,3,eval-hockey-q03-query-only,hockey_rules_full-12,What is the penalty for a hand ball?,0,0.630930,,,not retrieved,,soccer_rules_full-3|hockey_rules_full-3|basketball_rules_full-3|football_rules_full-3|football_rules_full-37,
query-only,none,moving-average,soccer,3,eval-soccer-q03-query-only,soccer_rules_full-27,What is the penalty for a hand ball?,0,1.000000,,,not retrieved,,soccer_rules_full-3|hockey_rules_full-3|basketball_rules_full-3|football_rules_full-3|football_rules_full-37,
query-only,none,moving-average,basketball,4,eval-basketball-q04-query-only,basketball_rules_full-39,How does the draft work?,0,1.430677,,,not retrieved,,basketball_rules_full-4|hockey_rules_full-4|noise-36|basketball_rules_full-49|soccer_rules_full-4,
query-only,none,moving-average,football,4,eval-football-q04-query-only,football_rules_full-13,How does the draft work?,0,0.000000,,,not retrieved,,basketball_rules_full-4|hockey_rules_full-4|noise-36|basketball_rules_full-49|soccer_rules_full-4,
query-only,none,moving-average,hockey,4,eval-hockey-q04-query-only,hockey_rules_full-13,How does the draft work?,0,0.630930,,,not retrieved,,basketball_rules_full-4|hockey_rules_full-4|noise-36|basketball_rules_full-49|soccer_rules_full-4,
query-only,none,moving-average,soccer,4,eval-soccer-q04-query-only,soccer_rules_full-37,How does the draft work?,0,0.386853,,,not retrieved,,basketball_rules_full-4|hockey_rules_full-4|noise-36|basketball_rules_full-49|soccer_rules_full-4,
query-only,none,moving-average,basketball,5,eval-basketball-q05-query-only,basketball_rules_full-20,What are the rules for a substitution?,0,0.430677,,,not retrieved,,soccer_rules_full-5|hockey_rules_full-5|soccer_rules_full-40|basketball_rules_full-5|football_rules_full-5,
query-only,none,moving-average,football,5,eval-football-q05-query-only,football_rules_full-11,What are the rules for a substitution?,0,0.386853,,,not retrieved,,soccer_rules_full-5|hockey_rules_full-5|soccer_rules_full-40|basketball_rules_full-5|football_rules_full-5,
query-only,none,moving-average,hockey,5,eval-hockey-q05-query-only,hockey_rules_full-40,What are the rules for a substitution?,0,0.630930,,,not retrieved,,soccer_rules_full-5|hockey_rules_full-5|soccer_rules_full-40|basketball_rules_full-5|football_rules_full-5,
query-only,none,moving-average,soccer,5,eval-soccer-q05-query-only,soccer_rules_full-42,What are the rules for a substitution?,0,1.500000,,,not retrieved,,soccer_rules_full-5|hockey_rules_full-5|soccer_rules_full-40|basketball_rules_full-5|football_rules_full-5,
query-only,none,moving-average,basketball,6,eval-basketball-q06-query-only,basketball_rules_full-40,How do you execute a proper block?,0,0.386853,,,not retrieved,,football_rules_full-6|hockey_rules_full-21|hockey_rules_full-6|soccer_rules_full-6|basketball_rules_full-6,
query-only,none,moving-average,football,6,eval-football-q06-query-only,football_rules_full-15,How do you execute a proper block?,0,1.000000,,,not retrieved,,football_rules_full-6|hockey_rules_full-21|hockey_rules_full-6|soccer_rules_full-6|basketball_rules_full-6,
query-only,none,moving-average,hockey,6,eval-hockey-q06-query-only,hockey_rules_full-48,How do you execute a proper block?,0,1.130930,,,not retrieved,,football_rules_full-6|hockey_rules_full-21|hockey_rules_full-6|soccer_rules_full-6|basketball_rules_full-6,
query-only,none,moving-average,soccer,6,eval-soccer-q06-query-only,soccer_rules_full-33,How do you execute a proper block?,0,0.430677,,,not retrieved,,football_rules_full-6|hockey_rules_full-21|hockey_rules_full-6|soccer_rules_full-6|basketball_rules_full-6,
query-only,none,moving-average,basketball,7,eval-basketball-q07-query-only,basketball_rules_full-33,What is the penalty for a personal foul?,0,1.017783,,,not retrieved,,hockey_rules_full-7|basketball_rules_full-7|football_rules_full-7|soccer_rules_full-7|basketball_rules_full-31,
query-only,none,moving-average,football,7,eval-football-q07-query-only,football_rules_full-33,What is the penalty for a personal foul?,0,0.500000,,,not retrieved,,hockey_rules_full-7|basketball_rules_full-7|football_rules_full-7|soccer_rules_full-7|basketball_rules_full-31,
