combine_strategy,rerank_strategy,update_strategy,persona,question_number,username,expected_chunk_id,neutral_question,priming_question_count,baseline_score,post_priming_score,delta,baseline_expected_rank,post_priming_expected_rank,baseline_chunk_ids,post_priming_chunk_ids
query-only,none,moving-average,civil,1,alpha-eval-civil-q01-query-only,civil-1,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",0,6.448459,,,3,,minecraft-1|civil-4|civil-1|civil-6|civil-7,
query-only,none,moving-average,civil,2,alpha-eval-civil-q02-query-only,civil-4,"How do builders ensure that a structure can withstand extreme external forces or ""blast"" impacts",0,7.626827,,,2,,minecraft-2|civil-4|civil-7|civil-1|civil-5,
query-only,none,moving-average,civil,3,alpha-eval-civil-q03-query-only,civil-2,Which materials are prioritized when high strength and durability are required for a build,0,6.017783,,,3,,minecraft-2|civil-3|civil-2|minecraft-5|civil-7,
query-only,none,moving-average,civil,4,alpha-eval-civil-q04-query-only,civil-5,"How is internal stress or ""tension"" managed to prevent a structure from cracking or failing",0,11.948459,,,1,,civil-5|civil-7|civil-2|civil-3|civil-1,
query-only,none,moving-average,civil,5,alpha-eval-civil-q05-query-only,civil-10,"What techniques are used to protect a structure from long-term environmental degradation, such as corrosion or ""weathering""",0,11.948459,,,1,,civil-10|civil-3|civil-7|civil-5|civil-8,
query-only,none,moving-average,civil,6,alpha-eval-civil-q06-query-only,civil-8,"How do designers account for movement, such as thermal expansion or ""block updates,"" within a system",0,5.000000,,,3,,minecraft-4|minecraft-5|civil-8|minecraft-9|minecraft-3,
query-only,none,moving-average,civil,7,alpha-eval-civil-q07-query-only,civil-4,"What kind of rigorous analysis or ""testing"" is required to validate the integrity of a complex design",0,11.017783,,,1,,civil-4|civil-7|minecraft-10|minecraft-4|civil-1,
query-only,none,moving-average,civil,8,alpha-eval-civil-q08-query-only,civil-6,"How is the distribution of weight or ""load"" managed across large spans or monolithic walls",0,11.561606,,,1,,civil-6|civil-4|civil-5|civil-7|minecraft-1,
query-only,none,moving-average,civil,9,alpha-eval-civil-q09-query-only,civil-2,"What strategies are used to maximize the performance and efficiency of a structure while minimizing ""latency"" or weight",0,1.948459,,,not retrieved,,minecraft-5|civil-4|civil-6|civil-10|civil-1,
query-only,none,moving-average,civil,10,alpha-eval-civil-q10-query-only,civil-8,"How does the verticality or ""height"" of a project change the mechanics of how it is built",0,0.500000,,,not retrieved,,minecraft-9|minecraft-3|civil-6|minecraft-1|minecraft-8,
query-only,none,moving-average,minecraft,1,alpha-eval-minecraft-q01-query-only,minecraft-1,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",0,10.000000,,,1,,minecraft-1|civil-4|civil-1|civil-6|civil-7,
query-only,none,moving-average,minecraft,2,alpha-eval-minecraft-q02-query-only,minecraft-2,"How do builders ensure that a structure can withstand extreme external forces or ""blast"" impacts",0,10.000000,,,1,,minecraft-2|civil-4|civil-7|civil-1|civil-5,
query-only,none,moving-average,minecraft,3,alpha-eval-minecraft-q03-query-only,minecraft-2,Which materials are prioritized when high strength and durability are required for a build,0,10.430677,,,1,,minecraft-2|civil-3|civil-2|minecraft-5|civil-7,
query-only,none,moving-average,minecraft,4,alpha-eval-minecraft-q04-query-only,minecraft-4,"How is internal stress or ""tension"" managed to prevent a structure from cracking or failing",0,0.000000,,,not retrieved,,civil-5|civil-7|civil-2|civil-3|civil-1,
query-only,none,moving-average,minecraft,5,alpha-eval-minecraft-q05-query-only,minecraft-10,"What techniques are used to protect a structure from long-term environmental degradation, such as corrosion or ""weathering""",0,0.000000,,,not retrieved,,civil-10|civil-3|civil-7|civil-5|civil-8,
query-only,none,moving-average,minecraft,6,alpha-eval-minecraft-q06-query-only,minecraft-4,"How do designers account for movement, such as thermal expansion or ""block updates,"" within a system",0,11.448459,,,1,,minecraft-4|minecraft-5|civil-8|minecraft-9|minecraft-3,
query-only,none,moving-average,minecraft,7,alpha-eval-minecraft-q07-query-only,minecraft-9,"What kind of rigorous analysis or ""testing"" is required to validate the integrity of a complex design",0,0.930677,,,not retrieved,,civil-4|civil-7|minecraft-10|minecraft-4|civil-1,
query-only,none,moving-average,minecraft,8,alpha-eval-minecraft-q08-query-only,minecraft-2,"How is the distribution of weight or ""load"" managed across large spans or monolithic walls",0,0.386853,,,not retrieved,,civil-6|civil-4|civil-5|civil-7|minecraft-1,
query-only,none,moving-average,minecraft,9,alpha-eval-minecraft-q09-query-only,minecraft-5,"What strategies are used to maximize the performance and efficiency of a structure while minimizing ""latency"" or weight",0,10.000000,,,1,,minecraft-5|civil-4|civil-6|civil-10|civil-1,
query-only,none,moving-average,minecraft,10,alpha-eval-minecraft-q10-query-only,minecraft-9,"How does the verticality or ""height"" of a project change the mechanics of how it is built",0,11.448459,,,1,,minecraft-9|minecraft-3|civil-6|minecraft-1|minecraft-8,
